tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica
27	2	256	81	80	1	0.9876543209876543	1	0	7	125.57142857142857	125.57142857142857	0	125.42857142857143	0.14285714285714285	0	1	1	1	0	0	0.9982363315696648	1	0	0	1	0	1
27	1	211	36	0	1	0	0	0	6	33.666666666666664	29.5	4.166666666666667	0	33.666666666666664	0	2	2	0.8333333333333334	0.16666666666666666	0	0	0	0.16666666666666666	0	0	0	0
27	1	427	2	0	1	0	0	0	7	2	2	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	117	1	0	1	0	0	0	4	1.75	1.75	0	0	1.75	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	249	4	0	1	0	0	0	5	3.8	3.8	0	0	3.8	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	351	14	0	1	0	0	0	7	15.285714285714286	15.285714285714286	0	0	15.285714285714286	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	402	22	0	1	0	0	0	7	22.571428571428573	18.857142857142858	3.7142857142857144	0	22.571428571428573	0	2	2	0.8253771318287447	0.17462286817125527	0	0	0	0.42857142857142855	0	0	0	0
27	5	313	52	0	1	0	0	0	7	78.28571428571429	57.714285714285715	0	0	78.28571428571429	20.571428571428573	5	5	0.7487539593311648	0	0.25124604066883516	0	0	0.8571428571428571	0.8571428571428571	1	1	0
20	1	240	5	0	1	0	0	0	5	10.4	10.4	0	0	10.4	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	165	37	0	1	0	0	0	7	17	16.428571428571427	0	0	17	0.5714285714285714	5	5	0.9451659451659452	0	0.05483405483405483	0	0	0.5714285714285714	0.5714285714285714	1	1	0
20	2	319	32	0	1	0	0	0	7	39.857142857142854	39.857142857142854	0	0	39.857142857142854	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	33	27	0	1	0	0	0	7	45.285714285714285	33.857142857142854	0	0	45.285714285714285	11.428571428571429	5	5	0.7421883143056859	0	0.2578116856943142	0	0	0.5714285714285714	0.5714285714285714	0	1	0
