tipo_persona	proxy_edad_actual	prop_con_garantia_actual	n_meses_seg_bcra	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
27	331	0	3	2	2	0.6666666666666666	0.3333333333333333	0	0	0	0.3333333333333333	0	0	0	0	18.193405398660254	0	1.7320508075688772	0.816496580927726	0.5773502691896257	0	0	0	0.5773502691896257	0	109561	0	9	0.4444444444444444	0.1111111111111111	0	0	0	0.1111111111111111	0
27	174	0	5	2	2	0.8	0.2	0	0	0	0.2	0	0	0	0	13.19090595827292	0	2.23606797749979	0.8944271909999159	0.44721359549995793	0	0	0	0.44721359549995793	0	30276	0	25	0.6400000000000001	0.04000000000000001	0	0	0	0.04000000000000001	0
20	421	0	7	3	3	0.7837521991913966	0.19492583918813428	0.02132196162046908	0	0	0.5714285714285714	0.14285714285714285	0	1	0	20.518284528683193	0	2.6457513110645907	0.8852978025452207	0.4415040647470126	0.14602041508114227	0	0	0.7559289460184544	0.3779644730092272	177241	0	49	0.6142675097373507	0.03799608278319838	4.546260473447564e-4	0	0	0.32653061224489793	0.02040816326530612
27	162	0	7	1	1	1	0	0	0	0	0	0	0	0	0	12.727922061357855	0	2.6457513110645907	1	0	0	0	0	0	0	26244	0	49	1	0	0	0	0	0	0
27	367	0	7	1	1	1	0	0	0	0	0	0	0	0	0	19.157244060668017	0	2.6457513110645907	1	0	0	0	0	0	0	134689	0	49	1	0	0	0	0	0	0
27	321	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.916472867168917	0	2.6457513110645907	1	0	0	0	0	0	0	103041	0	49	1	0	0	0	0	0	0
20	353	0	6	1	1	1	0	0	0	0	0	0	0	0	0	18.788294228055936	0	2.449489742783178	1	0	0	0	0	0	0	124609	0	36	1	0	0	0	0	0	0
27	317	0	7	2	2	0.9502164502164502	0.04978354978354978	0	0	0	0.14285714285714285	0	1	0	0	17.804493814764857	0	2.6457513110645907	0.9747904647750972	0.22312227540868657	0	0	0	0.3779644730092272	0	100489	0	49	0.9029113022619516	0.002478401829051179	0	0	0	0.02040816326530612	0
20	144	0	7	1	1	1	0	0	0	0	0	0	0	0	0	12	0	2.6457513110645907	1	0	0	0	0	0	0	20736	0	49	1	0	0	0	0	0	0
27	102	0	6	1	1	1	0	0	0	0	0	0	0	0	0	10.099504938362077	0	2.449489742783178	1	0	0	0	0	0	0	10404	0	36	1	0	0	0	0	0	0
20	376	0	7	1	1	1	0	0	0	0	0	0	0	0	0	19.390719429665317	0	2.6457513110645907	1	0	0	0	0	0	0	141376	0	49	1	0	0	0	0	0	0
20	139	0	7	1	1	1	0	0	0	0	0	0	0	0	0	11.789826122551595	0	2.6457513110645907	1	0	0	0	0	0	0	19321	0	49	1	0	0	0	0	0	0
27	348	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.65475810617763	0	2.6457513110645907	1	0	0	0	0	0	0	121104	0	49	1	0	0	0	0	0	0
20	243	0	7	1	1	1	0	0	0	0	0	0	0	0	0	15.588457268119896	0	2.6457513110645907	1	0	0	0	0	0	0	59049	0	49	1	0	0	0	0	0	0
27	260	0	7	1	1	1	0	0	0	0	0	0	0	0	0	16.1245154965971	0	2.6457513110645907	1	0	0	0	0	0	0	67600	0	49	1	0	0	0	0	0	0
20	179	0	7	1	1	1	0	0	0	0	0	0	0	0	0	13.379088160259652	0	2.6457513110645907	1	0	0	0	0	0	0	32041	0	49	1	0	0	0	0	0	0
20	272	0	4	1	1	1	0	0	0	0	0	0	0	0	0	16.492422502470642	0	2	1	0	0	0	0	0	0	73984	0	16	1	0	0	0	0	0	0
20	134	0	7	1	1	1	0	0	0	0	0	0	0	0	0	11.575836902790225	0	2.6457513110645907	1	0	0	0	0	0	0	17956	0	49	1	0	0	0	0	0	0
Global	339	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.411952639521967	0	2.6457513110645907	1	0	0	0	0	0	0	114921	0	49	1	0	0	0	0	0	0
20	123	0	7	1	1	1	0	0	0	0	0	0	0	0	0	11.090536506409418	0	2.6457513110645907	1	0	0	0	0	0	0	15129	0	49	1	0	0	0	0	0	0
27	46	0	6	1	1	1	0	0	0	0	0	0	0	0	0	6.782329983125268	0	2.449489742783178	1	0	0	0	0	0	0	2116	0	36	1	0	0	0	0	0	0
27	347	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.627936010197157	0	2.6457513110645907	1	0	0	0	0	0	0	120409	0	49	1	0	0	0	0	0	0
20	127	0	7	1	1	1	0	0	0	0	0	0	0	0	0	11.269427669584644	0	2.6457513110645907	1	0	0	0	0	0	0	16129	0	49	1	0	0	0	0	0	0
20	162	0	6	1	1	1	0	0	0	0	0	0	0	0	0	12.727922061357855	0	2.449489742783178	1	0	0	0	0	0	0	26244	0	36	1	0	0	0	0	0	0
